RT @siphillipssport: Graham Potter fears his training sessions at Chelsea are being undermined by having too many players to work with. Pot…,2023-02-27 21:06:17.306423
text,recorded_at
"RT @ChelseaStatsFR: 📉 - Chelsea a un goalaverage négatif (-2) avec plus de défaites (9) que de victoires (8).

Une première pour Chelsea à…",2023-02-27 21:06:22.328451
text,recorded_at
@Matt_Law_DT This ownership,2023-02-27 21:06:26.341236
text,recorded_at
"RT @Ekremkonur: 🚨Inter Milan striker Lautaro Martinez is generating serious interest from a number of Chelsea,Manchester United and Arsenal…",2023-02-27 21:06:30.382126
text,recorded_at
Emre Can will pocket him. https://t.co/hGQuXjePC6,2023-02-27 21:06:35.390003
text,recorded_at
@AbsoluteChelsea @Matt_Law_DT https://t.co/3BA4gxh8l6,2023-02-27 21:06:39.452703
text,recorded_at
Why are they comparing the two scenarios when we were just world champions last year and champions of Europe 28 months ago? Spurs were in the gutters she Poch took over. We’re supposed to be competing for the league man. https://t.co/m6aVDGTLha,2023-02-27 21:06:43.465886
text,recorded_at
@btsportfootball Me whenever Potter talks about Arteta... https://t.co/3WiGGNLtKq,2023-02-27 21:06:48.497989
text,recorded_at
@Iimocfc UCL final spurs was shitty 😂,2023-02-27 21:06:52.527692
text,recorded_at
RT @Ebe4Eva: Chelsea fans were telling people to “cope” when everyone was saying their transfer business was dumb as fuck.,2023-02-27 21:06:57.586571
text,recorded_at
Oluwaseun https://t.co/za5qh19aJX,2023-02-27 21:07:02.601104
text,recorded_at
RT @Pulisicate: We've won 3 European trophies in the last 5 years plus World Club World last year. Arsenal certainly isn't that club to ins…,2023-02-27 21:07:07.654040
text,recorded_at
"@AbsoluteChelsea @Matt_Law_DT They’re basically taking the club hostage so inept Boehly can save himself from further embarrassment.

It will never work as anyone w/half a brain knew the moment he was signed.

He coasted on the fundamentals Tuchel implemented for a short run until the expected collapse.",2023-02-27 21:07:12.681362
text,recorded_at
"RT @SavageFootballl: Spurs mampu kalahkan Chelsea pada Derby London kemarin. Meski butuh waktu hingga babak kedua untuk mencetak gol, namun…",2023-02-27 21:07:17.699187
text,recorded_at
"RT @FabrizioRomano: Chelsea and Vasco da Gama are closing in on agreement for Andrey Santos loan after deal collapsed with Palmeiras, it’s…",2023-02-27 21:07:21.716101
text,recorded_at
@TayWH5 They’ll say he did well at Brighton but maybe a top club is beyond him while also holding Moyes’ time at man united against him,2023-02-27 21:07:26.752625
text,recorded_at
@TheAFCnewsroom @jbsoutar @F365 No thanks,2023-02-27 21:07:31.780360
text,recorded_at
RT @CFCDaily: Chelsea should never be looking at other clubs in London as a benchmark when we’re literally the only club in London to have…,2023-02-27 21:07:36.803987
text,recorded_at
he isn’t fit for the job bye 😭 https://t.co/1BYfyERMxS,2023-02-27 21:07:40.847457
text,recorded_at
💬El 19 de abril de 1997 Chelsea visitaba al Coventry City y paso algo. En el siguiente artículo te explicamos lo sucedido y la historia de algunas de nuestras camisetas https://t.co/8mJ8XvMEyl https://t.co/MFMPueOEq0,2023-02-27 21:07:44.917065
text,recorded_at
"@premierleague @ChelseaFC When did failure become improvements 
This guy determined to finish Chelsea and fans completely
We should have medical team on standby whenever Chelsea I see playing 
The fans have signs of high blood pressure and other life threatening issues",2023-02-27 21:07:48.928839
text,recorded_at
RT @Chels_HQ: The growing feeling around #Chelsea is that the next two games will ultimately be make or break for head coach Graham Potter…,2023-02-27 21:07:53.952806
text,recorded_at
"Chelsea fans demand the sacking of Graham Potter after the Blues lost 2-0 to Spurs

#Chelsea #Spurs #PremierLeague 

https://t.co/MmfWcoX6xv",2023-02-27 21:07:58.996216
text,recorded_at
RT @samuel_odinga: I just heard Lewandowski is also out of 2 weeks..Xavi is still our problem why did he even allow Aubameyang to leave the…,2023-02-27 21:08:04.008552
text,recorded_at
RT @Maxwel_TheGist: I think the biggest insult to Chelsea fans is that Graham Potter keeps comparing his struggles to Arsenal who spent sig…,2023-02-27 21:08:08.031508
text,recorded_at
Got 4X multiple tickets for sales Chelsea fc vs Leeds United 🎫 at cheap prices kindly dm me to get them now 🇬🇧  #ChelseaFC  #leeds,2023-02-27 21:08:13.079377
text,recorded_at
RT @EmenaIo: @CFCPys @Matt_Law_DT Todd Boehly doesn’t care about Chelsea fans.,2023-02-27 21:08:18.118645
text,recorded_at
Eat 💩 https://t.co/nPBJ3axVdU,2023-02-27 21:08:23.134336
text,recorded_at
"🎥 Chelsea wasting time against Tottenham in 33rd minute, Kane retaliates and goes unpunished
https://t.co/IYyu9vMOdm
#SofaScore #TOT #CHE",2023-02-27 21:08:28.167551
text,recorded_at
RT @toellandandback: @ChelwestFT shame on you Chelsea and Westminster Hospital for removing the artwork designed by Palestinian children wh…,2023-02-27 21:08:32.184830
text,recorded_at
RT @CFC_Janty: Day 1 of tweeting #PotterOut until Chelsea sack him. https://t.co/WqH1exl6Pp,2023-02-27 21:08:36.217367
text,recorded_at
@CFCPys @Matt_Law_DT This man and excuse nah 5&amp;6 https://t.co/bArlm5xXci,2023-02-27 21:08:41.316973
text,recorded_at
@Emzyl_ Tuchel won it with a worse squad,2023-02-27 21:08:46.436746
text,recorded_at
"@FootballTalkHQ Keep the blue flag flying, in potter we trust 😀🎁",2023-02-27 21:08:51.417627
text,recorded_at
@spidagoats @Matt_Law_DT Man can have all the whole time in the world chelsea won’t win nothin with him… Potter is not chelsea standard,2023-02-27 21:08:56.443495
text,recorded_at
@siphillipssport @MattHughesDM He will never get used to this team. He has always played 1 match a week. He doesn't understand the need for a bigger squad or depth.,2023-02-27 21:09:01.474281
text,recorded_at
@AzzurriFanPhil Why would mourinho leave Roma in the middle of a season?,2023-02-27 21:09:06.493698
text,recorded_at
"@TheBlueDodger @SJohnsonSport Your talking all nonsense not reflecting what you did wrong, just not accepting your error that is the problem, you have seen yourself that he his an average coach then trusting him to ths big club....brighton will never ever become like cfc nor their goals will never be the same",2023-02-27 21:09:11.513241
text,recorded_at
"@chelsea_poland @Matt_Law_DT Czuję, że jednak czara się powoli przelewa. Dwa najbliższe mecze Potter gra o posade",2023-02-27 21:09:16.546661
text,recorded_at
@Esau_Matsiko Kati otandise ku soma ku byafayo byafee continue bro 😂,2023-02-27 21:09:21.567216
text,recorded_at
@CFCNewsReport @Matt_Law_DT He should be leaving by now,2023-02-27 21:09:25.602653
text,recorded_at
Signs of depression. 1) Too much laugher 👍🏾 https://t.co/us5N0d1cHN,2023-02-27 21:09:30.628975
text,recorded_at
RT @Kibet_bull: @Ceenet services is now available in Nakuru. Order a laptop and other accessories and it will be delivered to your doorstep…,2023-02-27 21:09:35.666101
text,recorded_at
@talkchelsea Don't try it,2023-02-27 21:09:39.702588
text,recorded_at
"RT @Transfer__HQ: 🚨 BREAKING: Chelsea owner is set to sack Graham Potter and appoint world class manager. 

Chelsea fans have already start…",2023-02-27 21:09:43.725533
text,recorded_at
@kyleawesome1 @BoxyBate @sayeed_m10 @VitalityWFACup 👍,2023-02-27 21:09:48.746699
text,recorded_at
@tovers98 What did Sarri won at anywhere before he came to Chelsea?,2023-02-27 21:09:52.761206
text,recorded_at
Lmaooool😅😅😅😂😂my chest https://t.co/hMVjPL2gwR,2023-02-27 21:09:57.786438
text,recorded_at
@premierleague @ChelseaFC Hughton had a 41.4% win rate at Brighton. Potter took over and had a 32% win rate. His replacement at Brighton has a 45% win rate. Potter now has a 34.6% win rate at Chelsea after taking over from Tuchel who was sacked with a 62.6% win rate. Please keep him Chelsea,2023-02-27 21:10:02.837593
text,recorded_at
Compared to Spurs &amp; Arsenal lmao Potter &amp; Boehly has killed my club https://t.co/JIllHKP3kG,2023-02-27 21:10:07.857915
